name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;228;0;375;3147;1722;3147;1391;0
header;231;154;231;185;1838;185;1838;154
B;634;334;634;379;676;379;676;334
B;717;334;717;378;733;378;733;334
D;1226;335;1226;381;1264;381;1264;335
B;593;336;593;380;625;380;625;336
B;315;538;315;568;340;568;340;538
A;1366;807;1366;813;1371;813;1371;807
B;395;995;395;1025;429;1025;429;995
D;556;1148;556;1177;582;1177;582;1148
B;828;1162;828;1179;842;1179;842;1162
C;1462;1209;1462;1245;1471;1245;1471;1209
B;548;1261;548;1278;562;1278;562;1261
B;1077;1571;1077;1588;1092;1588;1092;1571
A;1485;1613;1485;1615;1486;1615;1486;1613
D;316;2124;316;2154;350;2154;350;2124
B;500;2229;500;2265;526;2265;526;2229
