name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;378;0;378;3139;1590;3139;1496;0
header;243;152;243;184;1857;184;1857;152
A;1042;214;1042;241;1063;241;1063;214
B;837;310;837;328;851;328;851;310
A;1223;628;1223;632;1226;632;1226;628
D;1035;676;1035;723;1072;723;1072;676
B;714;1504;714;1520;729;1520;729;1504
B;413;2050;413;2071;429;2071;429;2050
B;832;2323;832;2344;847;2344;847;2323
B;618;2440;618;2461;634;2461;634;2440
A;821;2819;821;2824;825;2824;825;2819
C;706;2827;706;2848;723;2848;723;2827
