name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;515;0;633;3127;1017;3127;993;0
header;276;164;276;200;1904;200;1904;164
B;807;340;807;356;822;356;822;340
D;732;430;732;459;749;459;749;430
B;537;540;537;557;550;557;550;540
A;801;551;801;564;808;564;808;551
B;992;754;992;771;1005;771;1005;754
D;891;793;891;822;929;822;929;793
B;873;1256;873;1276;887;1276;887;1256
A;826;1319;826;1332;833;1332;833;1319
A;733;2377;733;2393;746;2393;746;2377
B;710;2527;710;2548;726;2548;726;2527
A;660;2872;660;2874;661;2874;661;2872
